pair,direction,entry_time,exit_time,entry_price,exit_price,size,pips,pnl,reason
USDJPY,LONG,2023-11-22 13:00:00,2023-11-22 17:00:00,148.77,149.684,0.01,89.89999999999873,8.919999999999872,SL/TP
USDJPY,SHORT,2024-01-19 13:00:00,2024-01-19 16:00:00,147.98,148.306,0.01,-34.10000000000218,-3.4800000000002185,SL/TP
USDJPY,SHORT,2024-01-22 13:00:00,2024-01-22 18:00:00,147.886,147.957,0.01,-8.599999999999795,-0.9299999999999795,SL/TP
USDJPY,SHORT,2024-01-31 15:00:00,2024-01-31 16:00:00,147.502,146.64,0.01,84.70000000000232,8.400000000000231,SL/TP
USDJPY,LONG,2024-05-31 14:00:00,2024-05-31 15:00:00,157.167,156.86,0.01,-32.199999999998795,-3.2899999999998797,SL/TP
USDJPY,LONG,2024-09-20 15:00:00,2024-09-20 19:00:00,143.671,143.755,0.01,6.900000000000318,0.6200000000000319,SL/TP
USDJPY,SHORT,2024-10-30 14:00:00,2024-10-30 15:00:00,153.034,153.357,0.01,-33.80000000000075,-3.4500000000000752,SL/TP
USDJPY,SHORT,2024-12-27 13:00:00,2024-12-27 19:00:00,157.655,157.827,0.01,-18.699999999999704,-1.9399999999999706,SL/TP
USDJPY,SHORT,2025-01-02 13:00:00,2025-01-02 18:00:00,157.207,157.66,0.01,-46.800000000000296,-4.75000000000003,SL/TP
USDJPY,SHORT,2025-01-13 13:00:00,2025-01-13 17:00:00,157.313,157.52,0.01,-22.200000000002206,-2.2900000000002207,SL/TP
USDJPY,SHORT,2025-02-25 15:00:00,2025-02-26 04:00:00,149.436,149.465,0.01,-4.399999999999636,-0.5099999999999636,SL/TP
USDJPY,LONG,2025-03-27 15:00:00,2025-03-28 04:00:00,150.729,150.753,0.01,0.8999999999972488,0.019999999999724877,SL/TP
USDJPY,SHORT,2025-04-11 13:00:00,2025-04-11 17:00:00,142.993,143.53,0.01,-55.200000000000614,-5.590000000000062,SL/TP
USDJPY,SHORT,2025-07-23 15:00:00,2025-07-24 09:00:00,146.411,146.275,0.01,12.099999999999568,1.1399999999999568,SL/TP
USDJPY,LONG,2025-07-28 14:00:00,2025-07-29 05:00:00,148.144,148.346,0.01,18.699999999999818,1.7999999999999818,SL/TP
USDJPY,SHORT,2025-08-13 15:00:00,2025-08-13 21:00:00,147.407,147.434,0.01,-4.199999999998681,-0.48999999999986815,SL/TP
USDJPY,SHORT,2025-09-09 15:00:00,2025-09-09 18:00:00,146.923,147.235,0.01,-32.70000000000118,-3.3400000000001184,SL/TP
USDJPY,SHORT,2025-10-02 14:00:00,2025-10-02 15:00:00,146.795,147.16,0.01,-38.00000000000091,-3.870000000000091,SL/TP
USDJPY,SHORT,2025-10-27 13:00:00,2025-10-27 16:00:00,152.772,153.112,0.01,-35.50000000000034,-3.6200000000000343,SL/TP
USDCHF,SHORT,2023-04-04 13:00:00,2023-04-04 14:00:00,0.91209,0.91359,0.1,-16.50000000000057,-17.200000000000568,SL/TP
USDCHF,SHORT,2023-04-20 14:00:00,2023-04-20 23:00:00,0.89538,0.89232,0.1,29.099999999999515,28.39999999999952,SL/TP
USDCHF,SHORT,2023-04-24 14:00:00,2023-04-25 01:00:00,0.89026,0.88739,0.1,27.20000000000039,26.500000000000394,SL/TP
USDCHF,SHORT,2023-05-16 14:00:00,2023-05-16 16:00:00,0.89387,0.89536,0.1,-16.399999999999913,-17.099999999999913,SL/TP
USDCHF,SHORT,2023-05-22 15:00:00,2023-05-22 17:00:00,0.89691,0.89906,0.1,-22.99999999999985,-23.69999999999985,SL/TP
USDCHF,SHORT,2023-05-26 15:00:00,2023-05-26 17:00:00,0.90356,0.90708,0.1,-36.699999999999676,-37.39999999999968,SL/TP
USDCHF,LONG,2023-06-23 15:00:00,2023-06-26 00:00:00,0.89615,0.89562,0.1,-6.8000000000003045,-7.500000000000305,SL/TP
USDCHF,LONG,2023-07-20 13:00:00,2023-07-20 15:00:00,0.8586,0.86244,0.1,36.899999999999544,36.19999999999954,SL/TP
USDCHF,SHORT,2023-07-26 14:00:00,2023-07-27 05:00:00,0.86276,0.85941,0.1,31.999999999999638,31.29999999999964,SL/TP
USDCHF,LONG,2023-08-09 15:00:00,2023-08-10 10:00:00,0.87652,0.87399,0.1,-26.799999999999212,-27.499999999999215,SL/TP
USDCHF,SHORT,2023-09-29 14:00:00,2023-09-29 16:00:00,0.91279,0.9137,0.1,-10.599999999999664,-11.299999999999665,SL/TP
USDCHF,LONG,2023-11-28 14:00:00,2023-11-28 15:00:00,0.88117,0.87909,0.1,-22.299999999999706,-22.999999999999705,SL/TP
USDCHF,LONG,2023-12-04 13:00:00,2023-12-05 02:00:00,0.87253,0.87159,0.1,-10.900000000000519,-11.60000000000052,SL/TP
USDCHF,LONG,2023-12-07 15:00:00,2023-12-07 18:00:00,0.87527,0.87567,0.1,2.4999999999995595,1.7999999999995593,SL/TP
USDCHF,LONG,2023-12-26 15:00:00,2023-12-26 21:00:00,0.85553,0.85348,0.1,-21.99999999999996,-22.69999999999996,SL/TP
USDCHF,LONG,2024-01-04 13:00:00,2024-01-05 00:00:00,0.85062,0.84953,0.1,-12.400000000000354,-13.100000000000355,SL/TP
USDCHF,LONG,2024-01-09 15:00:00,2024-01-10 08:00:00,0.84993,0.85339,0.1,33.100000000000186,32.40000000000018,SL/TP
USDCHF,SHORT,2024-02-23 15:00:00,2024-02-23 17:00:00,0.87982,0.88096,0.1,-12.899999999999189,-13.59999999999919,SL/TP
USDCHF,SHORT,2024-04-16 15:00:00,2024-04-17 12:00:00,0.91199,0.91132,0.1,5.199999999999484,4.499999999999484,SL/TP
USDCHF,LONG,2024-08-29 13:00:00,2024-08-29 15:00:00,0.84328,0.84689,0.1,34.60000000000002,33.90000000000002,SL/TP
USDCHF,SHORT,2024-10-30 14:00:00,2024-10-31 06:00:00,0.86772,0.8655,0.1,20.699999999999996,20.0,SL/TP
USDCHF,SHORT,2024-11-13 14:00:00,2024-11-13 16:00:00,0.88177,0.88366,0.1,-20.399999999999473,-21.099999999999472,SL/TP
USDCHF,SHORT,2024-11-21 14:00:00,2024-11-21 17:00:00,0.88309,0.88487,0.1,-19.300000000000036,-20.000000000000036,SL/TP
USDCHF,SHORT,2024-11-29 14:00:00,2024-11-29 18:00:00,0.88104,0.88221,0.1,-13.200000000000044,-13.900000000000045,SL/TP
USDCHF,LONG,2025-01-30 14:00:00,2025-01-30 15:00:00,0.90764,0.90662,0.1,-11.700000000000209,-12.40000000000021,SL/TP
USDCHF,SHORT,2025-02-05 15:00:00,2025-02-06 04:00:00,0.90294,0.90228,0.1,5.099999999999939,4.399999999999939,SL/TP
USDCHF,LONG,2025-02-19 13:00:00,2025-02-19 16:00:00,0.90402,0.90286,0.1,-13.100000000000499,-13.8000000000005,SL/TP
USDCHF,LONG,2025-04-07 15:00:00,2025-04-08 09:00:00,0.85634,0.85535,0.1,-11.399999999999354,-12.099999999999355,SL/TP
USDCHF,LONG,2025-04-22 14:00:00,2025-04-22 19:00:00,0.81105,0.81778,0.1,65.79999999999903,65.09999999999903,SL/TP
USDCHF,LONG,2025-04-28 15:00:00,2025-04-28 16:00:00,0.83024,0.82845,0.1,-19.399999999999583,-20.099999999999582,SL/TP
USDCHF,LONG,2025-05-01 14:00:00,2025-05-01 17:00:00,0.82797,0.83226,0.1,41.400000000000155,40.70000000000015,SL/TP
USDCHF,SHORT,2025-05-14 14:00:00,2025-05-14 17:00:00,0.83695,0.83931,0.1,-25.100000000000286,-25.800000000000285,SL/TP
USDCHF,SHORT,2025-05-20 14:00:00,2025-05-20 23:00:00,0.83293,0.82827,0.1,45.09999999999997,44.39999999999997,SL/TP
USDCHF,LONG,2025-06-13 14:00:00,2025-06-16 00:00:00,0.81289,0.81062,0.1,-24.199999999999942,-24.899999999999945,SL/TP
USDCHF,LONG,2025-06-23 15:00:00,2025-06-23 17:00:00,0.81827,0.81371,0.1,-47.10000000000008,-47.80000000000008,SL/TP
USDCHF,SHORT,2025-06-26 14:00:00,2025-06-27 01:00:00,0.80184,0.80139,0.1,2.9999999999995044,2.2999999999995047,SL/TP
USDCHF,SHORT,2025-08-28 14:00:00,2025-08-28 22:00:00,0.80115,0.80157,0.1,-5.6999999999997595,-6.39999999999976,FR Reversal
USDCHF,LONG,2025-08-29 13:00:00,2025-08-29 16:00:00,0.80249,0.80112,0.1,-15.199999999999823,-15.899999999999824,SL/TP
USDCHF,LONG,2025-10-06 14:00:00,2025-10-06 17:00:00,0.79793,0.79535,0.1,-27.300000000000267,-28.00000000000027,SL/TP
USDCHF,LONG,2025-11-17 13:00:00,2025-11-18 05:00:00,0.79532,0.79542,0.1,-0.5000000000001101,-1.2000000000001103,SL/TP
AUDUSD,LONG,2023-02-28 15:00:00,2023-02-28 21:00:00,0.67423,0.67349,0.1,-8.899999999999629,-9.599999999999628,SL/TP
AUDUSD,LONG,2023-03-30 13:00:00,2023-03-31 07:00:00,0.66966,0.67108,0.1,12.699999999999768,11.999999999999769,SL/TP
AUDUSD,LONG,2023-05-29 14:00:00,2023-05-30 02:00:00,0.65395,0.6528,0.1,-12.999999999999844,-13.699999999999845,SL/TP
AUDUSD,LONG,2023-06-07 15:00:00,2023-06-07 17:00:00,0.66878,0.66672,0.1,-22.100000000000616,-22.800000000000615,SL/TP
AUDUSD,SHORT,2023-06-19 13:00:00,2023-06-20 04:00:00,0.68493,0.68118,0.1,36.000000000000306,35.3000000000003,SL/TP
AUDUSD,LONG,2023-08-21 15:00:00,2023-08-21 17:00:00,0.64137,0.6398,0.1,-17.199999999999605,-17.899999999999604,SL/TP
AUDUSD,LONG,2023-09-14 15:00:00,2023-09-15 02:00:00,0.64409,0.64307,0.1,-11.700000000000209,-12.40000000000021,SL/TP
AUDUSD,SHORT,2024-01-05 14:00:00,2024-01-05 16:00:00,0.66857,0.67029,0.1,-18.700000000000546,-19.400000000000546,SL/TP
AUDUSD,SHORT,2024-01-12 15:00:00,2024-01-12 16:00:00,0.67045,0.67204,0.1,-17.399999999999803,-18.099999999999802,SL/TP
AUDUSD,LONG,2024-01-19 15:00:00,2024-01-22 06:00:00,0.65899,0.65942,0.1,2.8000000000004146,2.100000000000415,SL/TP
AUDUSD,LONG,2024-02-23 15:00:00,2024-02-23 17:00:00,0.6574,0.65599,0.1,-15.600000000000223,-16.300000000000225,SL/TP
AUDUSD,LONG,2024-02-29 13:00:00,2024-02-29 16:00:00,0.64986,0.65243,0.1,24.199999999999612,23.499999999999613,SL/TP
AUDUSD,SHORT,2024-03-20 15:00:00,2024-03-20 19:00:00,0.65201,0.65331,0.1,-14.499999999999678,-15.19999999999968,SL/TP
AUDUSD,SHORT,2024-03-27 14:00:00,2024-03-27 21:00:00,0.65223,0.65295,0.1,-8.70000000000054,-9.400000000000539,SL/TP
AUDUSD,LONG,2024-04-26 13:00:00,2024-04-26 17:00:00,0.65331,0.65263,0.1,-8.299999999999029,-8.999999999999028,SL/TP
AUDUSD,LONG,2024-05-15 13:00:00,2024-05-15 15:00:00,0.66381,0.66616,0.1,21.99999999999963,21.299999999999635,SL/TP
AUDUSD,LONG,2024-09-17 13:00:00,2024-09-17 15:00:00,0.67566,0.67501,0.1,-8.000000000000394,-8.700000000000394,SL/TP
AUDUSD,LONG,2024-09-18 15:00:00,2024-09-18 18:00:00,0.67771,0.67582,0.1,-20.40000000000058,-21.10000000000058,SL/TP
AUDUSD,LONG,2024-09-19 15:00:00,2024-09-20 12:00:00,0.68067,0.68069,0.1,-1.2999999999998,-1.9999999999998002,SL/TP
AUDUSD,SHORT,2024-10-01 14:00:00,2024-10-01 19:00:00,0.69077,0.6873,0.1,33.19999999999973,32.49999999999973,SL/TP
AUDUSD,SHORT,2024-12-16 14:00:00,2024-12-16 17:00:00,0.63574,0.63702,0.1,-14.300000000000589,-15.00000000000059,SL/TP
